study_id,treatment,responders,sample_size
Cipriani2009,Agomelatine,81,179
Cipriani2009,Fluoxetine,70,182
Cipriani2009,Sertraline,74,180
Cipriani2009,Venlafaxine,96,185
Chen2014,Agomelatine,102,220
Chen2014,Placebo,71,222
Fulcher2015,Duloxetine,115,230
Fulcher2015,Escitalopram,109,228
Fulcher2015,Placebo,84,226
Kirsch2016,Fluoxetine,89,200
Kirsch2016,Paroxetine,93,205
Kirsch2016,Placebo,68,205
Nakagawa2017,Bupropion,78,180
Nakagawa2017,Sertraline,85,184
Nakagawa2017,Placebo,65,182
Thase2017,Vortioxetine,101,210
Thase2017,Placebo,75,212
Thase2017,Duloxetine,108,211
Zhang2015,Mirtazapine,92,190
Zhang2015,Placebo,67,191
