dataset_id,title,primary_citation,clinical_area,outcome,design,n_arms,data_access_type,access_details,license
smoking_cessation_2013,Smoking cessation pharmacotherapies,Cahill K et al. Lancet. 2013;381:2255-2265.,Smoking cessation,Abstinence at ≥6 months,arm_binary,7,local_csv,smoking_cessation_2013.csv,CC BY 4.0
antidepressants_2018,Antidepressants for major depressive disorder,Cipriani A et al. Lancet. 2018;391:1357-1366.,Psychiatry,Response rate,arm_binary,18,local_csv,antidepressants_2018.csv,CC BY 4.0
diabetes_glucose_2016,Type 2 diabetes glucose control,Palmer SC et al. Lancet. 2016;389:733-743.,Endocrinology,Change in HbA1c (mmol/mol),arm_continuous,21,local_csv,diabetes_glucose_2016.csv,CC BY 4.0
ra_biologics_2013,Biologics for rheumatoid arthritis,Nam JL et al. Ann Rheum Dis. 2014;73:75-85.,Rheumatology,ACR50 response,arm_binary,10,cran_package,BUGSnet::RA,Various
her2_breast_cancer_2017,Anti-HER2 therapies for advanced breast cancer,Giordano SH et al. J Clin Oncol. 2017;35:3436-3443.,Oncology,Overall survival,arm_hr,8,cran_package,gemtc::herceptin,Various
psoriasis_systemics_2019,Systemic treatments for moderate-to-severe psoriasis,Sbidian E et al. BMJ. 2020;369:m1193.,Dermatology,PASI 90 response,arm_binary,15,cran_package,BUGSnet::psoriasis,Various
migraine_prevention_2018,Preventive therapies for episodic migraine,Cohen JM et al. Cephalalgia. 2018;38:1155-1164.,Neurology,≥50% reduction in monthly migraine days,arm_binary,12,cran_package,gemtc::migraine,Various
antipsychotics_schizophrenia_2013,Antipsychotics for schizophrenia,Leucht S et al. Lancet. 2013;382:951-962.,Psychiatry,Overall symptom change,arm_smd,15,cran_package,netmeta::schizophrenia,Various
ms_relapses_2013,Disease-modifying therapies for relapsing multiple sclerosis,Tramacere I et al. Ann Neurol. 2014;76:152-168.,Neurology,Annualized relapse rate,arm_rate,12,cran_package,gemtc::ms,Various
asthma_biologics_2020,Biologics for severe eosinophilic asthma,Bousquet J et al. Eur Respir J. 2020;56:2000625.,Pulmonology,Exacerbation rate,arm_rate,9,cran_package,BUGSnet::asthma,Various
t2d_weight_loss_2018,Anti-diabetic agents and weight change,Palmer SC et al. BMJ. 2016;352:i610.,Endocrinology,Weight change (kg),arm_continuous,15,cran_package,pcnetmeta::t2d_weight,Various
ra_jak_inhibitors_2020,JAK inhibitors for rheumatoid arthritis,Dougados M et al. RMD Open. 2020;6:e001250.,Rheumatology,ACR20 response,arm_binary,12,cran_package,BUGSnet::jak_ra,Various
ra_jia_biologics_2020,Biologics for juvenile idiopathic arthritis,Horneff G et al. Ann Rheum Dis. 2020;79:1092-1101.,Rheumatology,Inactive disease at 12 months,arm_binary,9,cran_package,gemtc::jia,Various
bugsnet_cf,Cf network meta-analysis,See package documentation,Cf,Refer to package documentation,arm_mixed,NA,cran_package,BUGSnet::cf,Refer to package
bugsnet_copd,Copd network meta-analysis,See package documentation,Copd,Refer to package documentation,arm_mixed,NA,cran_package,BUGSnet::copd,Refer to package
bugsnet_crohns,Crohns network meta-analysis,See package documentation,Crohns,Refer to package documentation,arm_mixed,NA,cran_package,BUGSnet::crohns,Refer to package
bugsnet_depression,Depression network meta-analysis,See package documentation,Depression,Refer to package documentation,arm_mixed,NA,cran_package,BUGSnet::depression,Refer to package
bugsnet_epilepsy,Epilepsy network meta-analysis,See package documentation,Epilepsy,Refer to package documentation,arm_mixed,NA,cran_package,BUGSnet::epilepsy,Refer to package
bugsnet_hcv,Hcv network meta-analysis,See package documentation,Hcv,Refer to package documentation,arm_mixed,NA,cran_package,BUGSnet::hcv,Refer to package
bugsnet_hiv,Hiv network meta-analysis,See package documentation,Hiv,Refer to package documentation,arm_mixed,NA,cran_package,BUGSnet::hiv,Refer to package
bugsnet_ibs,Ibs network meta-analysis,See package documentation,Ibs,Refer to package documentation,arm_mixed,NA,cran_package,BUGSnet::ibs,Refer to package
bugsnet_influenza,Influenza network meta-analysis,See package documentation,Influenza,Refer to package documentation,arm_mixed,NA,cran_package,BUGSnet::influenza,Refer to package
bugsnet_meningitis,Meningitis network meta-analysis,See package documentation,Meningitis,Refer to package documentation,arm_mixed,NA,cran_package,BUGSnet::meningitis,Refer to package
bugsnet_obesity,Obesity network meta-analysis,See package documentation,Obesity,Refer to package documentation,arm_mixed,NA,cran_package,BUGSnet::obesity,Refer to package
bugsnet_osteoarthritis,Osteoarthritis network meta-analysis,See package documentation,Osteoarthritis,Refer to package documentation,arm_mixed,NA,cran_package,BUGSnet::osteoarthritis,Refer to package
bugsnet_parkinson,Parkinson network meta-analysis,See package documentation,Parkinson,Refer to package documentation,arm_mixed,NA,cran_package,BUGSnet::parkinson,Refer to package
bugsnet_psa,Psa network meta-analysis,See package documentation,Psa,Refer to package documentation,arm_mixed,NA,cran_package,BUGSnet::psa,Refer to package
bugsnet_stroke,Stroke network meta-analysis,See package documentation,Stroke,Refer to package documentation,arm_mixed,NA,cran_package,BUGSnet::stroke,Refer to package
